nu,sw
502.008778,5.423000000000001e-85
502.311205,1.784e-99
502.595437,1.8599999999999999e-81
502.61726,2.318e-92
503.064465,1.776e-99
503.259775,1.851e-81
503.330328,2.3069999999999998e-92
503.619326,7.262000000000001e-78
503.826164,8.928e-46
504.27645,7.224e-78
504.397769,6.5660000000000015e-46
504.421752,3.22e-74
504.490032,5.957e-89
504.533376,6.586000000000001e-48
504.889502,3.373e-96
505.013173,1.61e-70
505.067065,1.527e-51
505.071162,3.203e-74
505.116133,6.415e-48
505.1975,5.93e-89
505.402401,8.983e-67
505.424554,2.439e-55
505.596806,5.508e-63
505.602509,3.621e-59
505.638392,3.3570000000000007e-96
505.654385,1.601e-70
505.660593,1.505e-51
506.028462,2.414e-55
