nu,sw
611.555067,1.87e-24
611.555071,1.99e-24
611.555084,2.11e-24
611.594296,1.7699999999999998e-24
611.594296,2.0199999999999998e-24
611.594301,1.8899999999999998e-24
611.931021,1.65e-24
611.931024,1.5499999999999998e-24
611.931024,1.5999999999999999e-24
611.97531,1.51e-24
611.97531,1.6099999999999998e-24
611.975311,1.56e-24
612.026812,3.866e-25
612.083243,3.753e-25
612.099458,1.9899999999999999e-25
612.099491,1.95e-25
612.099495,1.9099999999999999e-25
612.121987,7.79e-25
612.121998,7.6e-25
612.121999,7.42e-25
612.130399,1.9099999999999999e-25
612.130402,1.95e-25
612.130427,1.88e-25
612.159405,7.6299999999999995e-25
612.159405,7.45e-25
612.159408,7.26e-25
612.340849,2.1699999999999997e-24
612.340852,2.26e-24
612.340857,2.36e-24
612.391178,2.2899999999999998e-24
612.391182,2.09e-24
612.391183,2.19e-24
612.424694,1.99e-24
612.424696,2.13e-24
612.42471,2.27e-24
612.459672,2.1599999999999998e-24
612.459675,2.01e-24
612.815168,1.87e-24
612.81517,1.75e-24
612.81517,1.81e-24
612.860326,1.82e-24
612.860327,1.7e-24
612.860328,1.7599999999999998e-24
612.906963,4.294e-25
612.964723,4.164e-25
612.996782,2.45e-25
612.996814,2.4e-25
612.996817,2.35e-25
613.013807,9.18e-25
613.013817,8.96e-25
613.013818,8.74e-25
613.028157,2.3599999999999997e-25
613.02816,2.41e-25
613.028183,2.31e-25
613.051861,8.769999999999999e-25
613.051862,8.999999999999998e-25
613.051864,8.55e-25
613.215985,2.37e-24
613.215989,2.48e-24
613.215995,2.59e-24
613.267003,2.5e-24
613.267008,2.2799999999999998e-24
613.267009,2.39e-24
613.293966,2.12e-24
613.293967,2.27e-24
613.293981,2.4399999999999997e-24
613.322521,1.99e-24
613.322531,2.31e-24
613.322531,2.14e-24
613.698252,2.11e-24
613.698253,1.98e-24
613.698254,2.05e-24
613.744317,2.06e-24
613.744318,1.92e-24
613.744319,1.99e-24
613.78589,4.748e-25
613.845021,4.599e-25
613.89347,3e-25
613.893499,2.94e-25
613.893502,2.88e-25
613.90472,1.0799999999999999e-24
613.90473,1.06e-24
613.904731,1.03e-24
613.925296,2.89e-25
613.925299,2.95e-25
613.925319,2.83e-25
613.943441,1.06e-24
613.943441,1.03e-24
613.943443,1.0099999999999999e-24
614.043935,3.026e-25
614.089781,2.953e-25
614.090007,2.58e-24
614.090012,2.6999999999999997e-24
614.090018,2.8299999999999997e-24
614.141624,2.73e-24
614.14163,2.48e-24
614.141631,2.5999999999999996e-24
614.163322,2.4199999999999998e-24
614.163324,2.25e-24
614.163335,2.61e-24
614.182081,2.09e-24
614.182097,2.27e-24
614.182102,2.46e-24
614.580264,2.23e-24
614.580264,2.38e-24
614.580265,2.2999999999999997e-24
614.62727,2.32e-24
614.627271,2.1599999999999998e-24
614.627272,2.24e-24
614.663585,5.229e-25
614.724127,5.059e-25
614.789497,3.67e-25
614.789525,3.6e-25
614.789528,3.52e-25
614.794712,1.2699999999999999e-24
614.794721,1.23e-24
614.794722,1.2e-24
614.821794,3.53e-25
614.821796,3.61e-25
614.821815,3.46e-25
614.83413,1.2099999999999999e-24
614.83413,1.24e-24
614.834132,1.17e-24
614.930324,3.46e-25
614.962926,2.7899999999999998e-24
614.96293,2.9299999999999998e-24
614.962938,3.0799999999999997e-24
614.977192,3.374e-25
615.015007,2.97e-24
615.015012,2.6799999999999998e-24
615.015014,2.8199999999999997e-24
615.033517,2.58e-24
615.033524,2.38e-24
615.033528,2.7999999999999998e-24
615.036934,2.19e-24
615.036958,2.4e-24
615.036973,2.62e-24
615.46119,2.49e-24
615.461191,2.58e-24
615.461191,2.6699999999999998e-24
615.509174,2.5999999999999996e-24
615.509176,2.4199999999999998e-24
615.509177,2.51e-24
615.540042,5.735e-25
615.602029,5.541e-25
615.683766,1.4699999999999999e-24
615.683774,1.44e-24
615.683775,1.3999999999999999e-24
615.684846,4.47e-25
615.684872,4.37e-25
615.684874,4.28e-25
615.717633,4.29e-25
615.717635,4.3799999999999995e-25
615.717651,4.2e-25
615.723915,1.3999999999999999e-24
615.723915,1.44e-24
615.723917,1.37e-24
615.815616,3.9390000000000003e-25
615.834758,3.01e-24
615.834763,3.17e-24
615.834772,3.34e-24
615.863551,3.838e-25
615.887102,3.2099999999999997e-24
615.887109,2.88e-24
615.88711,3.04e-24
616.341021,2.78e-24
616.341022,2.88e-24
616.341023,2.99e-24
616.390018,2.9e-24
616.39002,2.6899999999999997e-24
616.390021,2.7899999999999998e-24
616.415257,6.264000000000001e-25
616.478713,6.042e-25
616.571868,1.7e-24
616.571876,1.66e-24
616.571876,1.62e-24
616.579495,5.399999999999999e-25
616.579518,5.28e-25
616.579521,5.17e-25
616.612782,1.67e-24
616.612782,1.63e-24
616.612784,1.58e-24
616.612792,5.18e-25
616.612794,5.3e-25
616.612809,5.07e-25
616.6998,4.465e-25
616.705532,3.24e-24
616.705537,3.42e-24
616.705548,3.61e-24
616.74885,4.348000000000001e-25
616.757849,3.47e-24
616.757856,3.0899999999999997e-24
616.757857,3.27e-24
617.219746,3.0799999999999997e-24
617.219748,3.1999999999999998e-24
617.21975,3.32e-24
617.269788,3.2299999999999997e-24
617.269791,2.98e-24
617.269792,3.0999999999999997e-24
617.289226,6.814e-25
617.354161,6.562000000000001e-25
617.36186,1.04e-25
617.362019,1.02e-25
617.362064,9.97e-26
617.388528,1.01e-25
617.388572,1.03e-25
617.388725,9.890000000000001e-26
617.459003,1.96e-24
617.45901,1.9099999999999997e-24
617.459011,1.86e-24
617.473424,6.51e-25
617.473446,6.37e-25
617.473449,6.23e-25
617.500719,1.92e-24
617.50072,1.86e-24
617.500721,1.81e-24
617.507255,6.24e-25
617.507256,6.39e-25
617.50727,6.099999999999999e-25
617.575292,3.47e-24
617.575298,3.6699999999999995e-24
617.57531,3.89e-24
617.582863,5.039e-25
617.62716,3.72e-24
617.627166,3.3e-24
617.627168,3.5e-24
617.633078,4.903e-25
617.885873,9.75e-26
617.885875,9.510000000000001e-26
617.937035,9.510000000000001e-26
617.937557,1.12e-25
617.937557,1.06e-25
617.93756,1.09e-25
617.987935,1.21e-25
617.987936,1.27e-25
617.987938,1.24e-25
617.989832,1.09e-25
617.989835,1.06e-25
617.989837,1.04e-25
618.037001,1.37e-25
618.037003,1.44e-25
618.037004,1.41e-25
618.041395,1.24e-25
618.041399,1.21e-25
618.041401,1.1799999999999999e-25
618.08475,1.54e-25
618.084752,1.63e-25
618.084753,1.58e-25
618.091725,1.41e-25
618.091729,1.37e-25
618.091732,1.33e-25
618.097357,3.4e-24
618.09736,3.5399999999999995e-24
618.097362,3.68e-24
618.131176,1.71e-25
618.131179,1.81e-25
618.13118,1.76e-25
618.140823,1.58e-25
618.140828,1.54e-25
618.14083,1.5e-25
618.148473,3.57e-24
618.148477,3.29e-24
618.148478,3.4299999999999995e-24
618.16195,7.383e-25
618.176272,1.9099999999999999e-25
618.176277,1.96e-25
618.176277,2.02e-25
618.18869,1.76e-25
618.188695,1.71e-25
618.188698,1.6699999999999999e-25
618.220033,2.11e-25
618.220038,2.17e-25
618.220039,2.24e-25
618.228351,7.097e-25
618.235329,1.96e-25
618.235334,1.9099999999999999e-25
618.235338,1.85e-25
618.256977,1.32e-25
618.257114,1.29e-25
618.257149,1.27e-25
618.26245,2.32e-25
618.262456,2.39e-25
618.262457,2.47e-25
618.280741,2.17e-25
618.280747,2.11e-25
618.280752,2.05e-25
618.284048,1.27e-25
618.284083,1.29e-25
618.284214,1.25e-25
618.303516,2.54e-25
618.303522,2.62e-25
618.303524,2.6999999999999997e-25
618.324931,2.39e-25
618.324938,2.32e-25
618.324943,2.25e-25
618.343222,2.76e-25
618.343229,2.8499999999999997e-25
618.343232,2.94e-25
618.345156,2.26e-24
618.345163,2.13e-24
618.345163,2.1999999999999996e-24
618.366613,7.82e-25
618.366634,7.6399999999999995e-25
618.366636,7.47e-25
618.367904,2.62e-25
618.367911,2.53e-25
618.367917,2.45e-25
618.381559,2.98e-25
618.381567,3.08e-25
618.381571,3.18e-25
618.387713,2.14e-24
618.387713,2.21e-24
618.387714,2.08e-24
618.401001,7.49e-25
618.401002,7.67e-25
618.401015,7.3199999999999995e-25
618.409663,2.8499999999999997e-25
618.409672,2.75e-25
618.409678,2.66e-25
618.418515,3.19e-25
618.418524,3.3e-25
618.418529,3.42e-25
618.444109,3.7e-24
618.444115,3.9299999999999995e-24
618.444128,4.18e-24
618.450218,3.07e-25
618.450227,2.97e-25
618.450234,2.87e-25
618.454078,3.39e-25
618.454088,3.51e-25
618.454094,3.64e-25
618.464794,5.6620000000000005e-25
618.488235,3.58e-25
618.488246,3.71e-25
618.488253,3.85e-25
618.489575,3.3e-25
618.489585,3.18e-25
618.489593,3.07e-25
618.494907,3.99e-24
618.494912,3.5e-24
618.494915,3.74e-24
618.516226,5.504e-25
618.520969,3.74e-25
618.520981,3.88e-25
618.52099,4.04e-25
618.527744,3.51e-25
618.527756,3.38e-25
618.527765,3.26e-25
618.552261,3.88e-25
618.552275,4.03e-25
618.552285,4.2e-25
618.564739,3.6999999999999996e-25
618.564753,3.56e-25
618.564763,3.43e-25
618.582088,3.9799999999999998e-25
618.582104,4.14e-25
618.582116,4.32e-25
618.600575,3.88e-25
618.60059,3.72e-25
618.600602,3.58e-25
618.610425,4.03e-25
618.610443,4.21e-25
618.610457,4.3999999999999995e-25
618.63527,4.02e-25
618.635287,3.85e-25
618.6353,3.6999999999999996e-25
618.637237,4.03e-25
618.637257,4.22e-25
618.637274,4.42e-25
618.662486,3.9799999999999998e-25
618.662508,4.17e-25
618.662527,4.3799999999999995e-25
618.668848,4.13e-25
618.668867,3.95e-25
618.668882,3.79e-25
618.686119,3.85e-25
618.686145,4.04e-25
618.686167,4.25e-25
618.701339,4.19e-25
618.70136,3.9999999999999997e-25
618.701377,3.83e-25
618.708072,3.64e-25
618.708102,3.83e-25
618.708128,4.04e-25
618.728261,3.3299999999999998e-25
618.728295,3.52e-25
618.728326,3.73e-25
618.732779,4.2e-25
618.732803,3.9999999999999997e-25
618.732823,3.8199999999999997e-25
618.746571,2.93e-25
618.74661,3.1e-25
618.746646,3.3e-25
618.762844,2.4e-25
618.76289,2.56e-25
618.762933,2.73e-25
618.763216,4.15e-25
618.763243,3.94e-25
618.763266,3.75e-25
618.776855,1.7499999999999999e-25
618.776909,1.87e-25
618.776961,2.01e-25
618.788264,9.61e-26
618.788329,1.03e-25
618.788392,1.11e-25
618.792712,4.02e-25
618.792743,3.81e-25
618.79277,3.61e-25
618.821349,3.8e-25
618.821385,3.59e-25
618.821416,3.4e-25
618.849238,3.4899999999999998e-25
618.84928,3.29e-25
618.849316,3.1e-25
618.876534,3.07e-25
618.876583,2.88e-25
618.876625,2.71e-25
618.903459,2.53e-25
618.903517,2.3599999999999997e-25
618.903567,2.21e-25
618.930348,1.84e-25
618.930418,1.71e-25
618.930478,1.5999999999999998e-25
618.957736,1.01e-25
618.973845,3.74e-24
618.973848,3.9e-24
618.973851,4.0599999999999995e-24
619.026059,3.9299999999999995e-24
619.026063,3.61e-24
619.026064,3.77e-24
619.033435,7.969e-25
619.101255,7.644e-25
619.151536,1.65e-25
619.151655,1.62e-25
619.151682,1.59e-25
619.179021,1.59e-25
619.179047,1.62e-25
619.179161,1.56e-25
619.230313,2.59e-24
619.230319,2.4399999999999997e-24
619.230319,2.51e-24
619.259044,9.33e-25
619.259064,9.12e-25
619.259066,8.91e-25
619.273751,2.52e-24
619.273751,2.45e-24
619.273752,2.37e-24
619.294013,8.94e-25
619.294014,9.15e-25
619.294026,8.73e-25
619.312093,3.94e-24
619.312099,4.2e-24
619.312114,4.48e-24
619.345581,6.335e-25
619.3609,4.26e-24
619.360903,3.71e-24
619.360907,3.98e-24
619.398286,6.152e-25
619.480136,2.924e-25
619.520463,2.858e-25
619.849202,4.0999999999999994e-24
619.849206,4.28e-24
619.84921,4.46e-24
619.902529,4.3199999999999995e-24
619.902534,3.9499999999999995e-24
619.902535,4.13e-24
619.903693,8.569e-25
619.972833,8.201000000000001e-25
620.045956,2.05e-25
620.046061,2.01e-25
620.046083,1.97e-25
620.07386,1.97e-25
620.073881,2.01e-25
620.073981,1.94e-25
620.114459,2.9499999999999997e-24
620.114464,2.86e-24
620.114464,2.77e-24
620.150696,1.11e-24
620.150715,1.09e-24
