wavenumber,mixed_spectrum
884.0,6.257882578577229e-24
885.0,2.3887574156688512e-24
886.0,8.701982781334287e-26
887.0,1.6658967404756705e-25
888.0,8.380455898188494e-24
889.0,1.4481668997077458e-24
890.0,9.95189183265036e-25
891.0,6.006208507946359e-24
892.0,5.448385264973491e-26
893.0,4.680225881737553e-24
894.0,1.9773399054013807e-24
895.0,8.934347559210167e-25
896.0,1.662851490001732e-24
897.0,2.007407785937561e-24
898.0,1.6392077470710735e-24
899.0,1.4660621159595582e-24
900.0,6.31436524292519e-25
901.0,7.133092549751524e-25
902.0,8.943190245399009e-25
903.0,7.504449767547053e-24
904.0,1.6100101389725494e-24
905.0,6.851823681282494e-26
906.0,2.7189588692756153e-24
907.0,2.486350656054453e-25
908.0,1.346390018043018e-24
909.0,1.3428366050279804e-24
910.0,3.169080050290377e-25
911.0,1.1336407167717112e-25
912.0,1.349032753023829e-24
913.0,2.429950329254773e-24
914.0,6.1633749246988355e-25
915.0,2.785836692674074e-25
916.0,1.2488037522306733e-24
917.0,2.347908253495738e-25
918.0,9.84196459907271e-25
919.0,2.787426347076227e-25
920.0,1.4533192197428474e-25
921.0,4.226496347542217e-25
922.0,1.020658892444974e-24
923.0,3.133822477475645e-25
924.0,3.243345762623418e-24
925.0,5.133278083495768e-24
926.0,2.9954707548333582e-25
927.0,6.681040414769284e-25
928.0,1.7655399197001326e-24
929.0,2.4533875204882544e-24
930.0,3.361682490295067e-24
931.0,4.2333251521786925e-24
932.0,9.741028111071035e-25
933.0,9.340439045286512e-25
934.0,8.142335007148466e-25
935.0,1.099141533629319e-24
936.0,2.672352576604384e-24
937.0,1.9408924918442224e-25
938.0,6.890330103283105e-25
939.0,5.660953146951372e-25
940.0,1.080982305774626e-24
941.0,1.5607939168417766e-24
942.0,1.9320526034282954e-24
943.0,1.4538778855796154e-25
944.0,4.397483015398263e-25
945.0,2.9317260834089e-24
946.0,2.176964966328571e-24
947.0,1.3619384277421345e-24
948.0,9.455687151528634e-25
949.0,1.821635161746471e-24
950.0,1.8931941236861862e-24
951.0,1.771246421434644e-24
952.0,9.339325407510864e-25
953.0,4.566072386582702e-25
954.0,1.4524714584246435e-25
955.0,1.8577654301214785e-24
956.0,1.3635466927468257e-24
957.0,6.183244046128988e-25
958.0,1.6836695655853214e-25
959.0,6.181932794748658e-25
960.0,1.0538845451823856e-24
961.0,9.819252503332731e-25
962.0,1.0603045186642574e-24
963.0,1.4290961399752956e-24
964.0,1.3536485170099158e-24
965.0,1.281288765701682e-24
966.0,5.3525501491123535e-25
967.0,1.2599181967002791e-24
968.0,1.1769978788987157e-24
969.0,1.0963608113894083e-24
970.0,1.6030144040214608e-25
971.0,9.01585825432701e-25
972.0,9.270928109424155e-25
973.0,6.934767868520103e-25
974.0,7.687479130554793e-25
975.0,6.949027911069768e-25
976.0,6.255377653227274e-25
977.0,6.183428764039948e-25
978.0,5.280223841761834e-25
